id,url,headline,author,date
0,https://www.theverge.com/2022/9/1/23332838/usb-4-version-2-80-gbps-thunderbolt,"Next-gen USB 4 promises to be twice as fast, using cables you may already own","Next-gen USB 4 promises to be twice as fast, using cables you may already own",N/A
1,https://www.theverge.com/2022/9/1/23332907/lenovo-glasses-t1-yoga-smart-display-ifa,Lenovo’s Glasses T1 let you bring a private big screen display with you,Lenovo’s Glasses T1 let you bring a private big screen display with you,N/A
2,https://www.theverge.com/2022/9/1/23331732/elon-musk-twitter-david-sacks-paypal-mafia-subpoenas-clout,Is Elon Musk’s pal messing with Twitter to score bro points?,Is Elon Musk’s pal messing with Twitter to score bro points?,N/A
3,https://www.theverge.com/2022/9/1/23330632/free-to-play-gacha-games-closures-dragalia-lost-kingdom-hearts,The ticking time bomb of modern free-to-play games,The ticking time bomb of modern free-to-play games,N/A
4,https://www.theverge.com/2022/9/1/23330920/withings-body-comp-health-plus-artery-nerve-ifa-2022,Withings’ new smart scale measures your nerve and artery health,Withings’ new smart scale measures your nerve and artery health,N/A
5,https://www.theverge.com/2022/9/1/23332653/california-power-grid-heatwave-electricity-outages,California’s power grid is struggling to cope with extreme heat,California’s power grid is struggling to cope with extreme heat,N/A
6,https://www.theverge.com/23312359/apple-iphone-lightning-cable-anniversary-10-years,"Apple’s Lightning cable turns 10, but its time is over","Apple’s Lightning cable turns 10, but its time is over",N/A
7,https://www.theverge.com/23321544/nasa-artemis-sls-orion-explained,NASA’s megarocket is about to blast off toward the Moon,NASA’s megarocket is about to blast off toward the Moon,N/A
8,https://www.theverge.com/2022/9/1/23333189/sennheiser-ambeo-soundbar-plus-hands-on-first-impressions-listening-experience,Sennheiser’s more-affordable soundbar is still a premium-sounding beast,Sennheiser’s more-affordable soundbar is still a premium-sounding beast,2022-09-01
9,https://www.theverge.com/2022/9/1/23333091/microsoft-edge-sidebar-widgets-search-email-recipes,"Microsoft Edge’s new sidebar banishes recipe stories, shows you email","Microsoft Edge’s new sidebar banishes recipe stories, shows you email",2022-09-01
10,https://www.theverge.com/2022/9/1/23332930/micron-idaho-manufacturing-chips-act-biden-white-house,Micron launches $15 billion Idaho project amid federal push for US tech manufacturing,Micron launches $15 billion Idaho project amid federal push for US tech manufacturing,2022-09-01
11,https://www.theverge.com/2022/9/1/23332807/house-of-the-dragon-miguel-sapochnik-exit,House of the Dragon co-showrunner Miguel Sapochnik has left the show ,House of the Dragon co-showrunner Miguel Sapochnik has left the show ,2022-09-01
12,https://www.theverge.com/23329415/the-lord-of-the-rings-of-power-review-amazon-prime,Amazon’s The Lord of the Rings: The Rings of Power is small-screen high fantasy done right,Amazon’s The Lord of the Rings: The Rings of Power is small-screen high fantasy done right,N/A
13,https://www.theverge.com/2022/9/1/23331228/sennheiser-ambeo-soundbar-plus-announced-features-price,"Sennheiser’s new $1,500 Ambeo Soundbar Plus will probably sound incredible","Sennheiser’s new $1,500 Ambeo Soundbar Plus will probably sound incredible",2022-09-01
14,https://www.theverge.com/2022/9/1/23332775/leica-cine-1-ust-projector-price-specs-date,Leica is now making a Cine 1 laser projector that sits just inches from the wall,Leica is now making a Cine 1 laser projector that sits just inches from the wall,2022-09-01
15,https://www.theverge.com/2022/9/1/23332684/ai-generated-artwork-wins-state-fair-competition-colorado,An AI-generated artwork’s state fair victory fuels arguments over ‘what art is’,An AI-generated artwork’s state fair victory fuels arguments over ‘what art is’,2022-09-01
16,https://www.theverge.com/2022/9/1/23331888/jabra-elite-5-earbuds-announced-features-price,Jabra’s new $150 Elite 5 earbuds could be the sweet spot of its lineup,Jabra’s new $150 Elite 5 earbuds could be the sweet spot of its lineup,2022-09-01
17,https://www.theverge.com/2022/9/1/23332738/halo-infinite-season-3-delay-forge-launch-november,Halo Infinite’s co-op and Forge modes delayed to November,Halo Infinite’s co-op and Forge modes delayed to November,2022-09-01
18,https://www.theverge.com/23331712/motorola-edge-2022-review-screen-camera-battery-price,Motorola Edge (2022) review: a passing grade,Motorola Edge (2022) review: a passing grade,2022-09-01
19,https://www.theverge.com/2022/9/1/23332661/razer-kishi-v2-ios-iphone-gaming-console-price-specs-release-features,The Razer Kishi V2 controller for iPhone is a better competitor against Backbone,The Razer Kishi V2 controller for iPhone is a better competitor against Backbone,2022-09-01
20,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.","We're building great things, and we need your talent.",N/A
21,https://www.theverge.com/2022/9/1/23332594/lenovo-ideapad-5i-chromebook-tab-p11-pro-ifa-2022,Lenovo’s 120Hz Chromebook promises a smooth scroll,Lenovo’s 120Hz Chromebook promises a smooth scroll,2022-09-01
22,https://www.theverge.com/23309954/apple-iphone-14-event-rumors-announcements-airpods-pro-watch-ios-16-watchos-9,What to expect from Apple’s iPhone 14 event,What to expect from Apple’s iPhone 14 event,2022-08-31
23,https://www.theverge.com/2022/9/1/23332596/youtube-recomendations-election-fraud-algorithm,YouTube’s recommendations pushed election denial content to election deniers,YouTube’s recommendations pushed election denial content to election deniers,2022-09-01
24,https://www.theverge.com/2022/9/1/23332658/pokemon-violet-scarlet-grafaiai-nintendo-switch,The newest Pokémon is a loner artist,The newest Pokémon is a loner artist,2022-09-01
25,https://www.theverge.com/good-deals/2022/9/1/23331432/apple-airpods-max-nintendo-switch-oled-bundle-pokemon-govee-dreamview-paramount-plus-deal-sale,Apple’s AirPods Max are back down to their best price of $429 at Amazon,Apple’s AirPods Max are back down to their best price of $429 at Amazon,N/A
26,https://www.theverge.com/23022617/best-bluetooth-speakers,The best Bluetooth speakers to buy right now,The best Bluetooth speakers to buy right now,2022-09-01
27,https://www.theverge.com/c/23309499/fema-disaster-consultants-climate-change-homeland,The Disaster Consultants,The Disaster Consultants,2022-08-31
28,https://www.theverge.com/22429322/ios-14-how-to-close-quit-app-iphone,iOS basics: how to quit an app or restart your iPhone,iOS basics: how to quit an app or restart your iPhone,2022-09-01
29,https://www.theverge.com/2022/9/1/23331801/tcl-2022-6-series-roku-tv-announced-features-price,TCL’s latest 6-Series Roku TV has serious gaming chops,TCL’s latest 6-Series Roku TV has serious gaming chops,2022-09-01
30,https://www.theverge.com/2022/9/1/23332417/samsung-galaxy-a23-5g-120hz-specs-price-date,Samsung’s Galaxy A23 brings 5G and a 120Hz display to the US for less than $300,Samsung’s Galaxy A23 brings 5G and a 120Hz display to the US for less than $300,2022-09-01
31,https://www.theverge.com/2022/9/1/23331954/google-computer-science-funding-grants-sundar-pichai,Google pledges $20 million to expand computer science education in the US,Google pledges $20 million to expand computer science education in the US,2022-09-01
32,https://www.theverge.com/c/23311333/tsa-history-airport-security-theater-homeland,The Humiliating History of the TSA,The Humiliating History of the TSA,2022-08-31
33,https://www.theverge.com/2022/9/1/23332363/twitter-edit-button-blue-subscription,"Twitter starts testing an edit button, but you have to pay for it","Twitter starts testing an edit button, but you have to pay for it",2022-09-01
34,https://www.theverge.com/2022/9/1/23332451/microsoft-activision-blizzard-deal-uk-cma-comments,Microsoft pleads for its Activision Blizzard deal as UK regulator signals in-depth review,Microsoft pleads for its Activision Blizzard deal as UK regulator signals in-depth review,2022-09-01
35,https://www.theverge.com/2022/9/1/23332407/european-commission-smartphone-repairability-spare-parts-energy-labels-proposals,The EU wants to enforce better phone battery life and spare parts,The EU wants to enforce better phone battery life and spare parts,2022-09-01
36,https://www.theverge.com/2022/9/1/23332399/us-restricts-export-ai-training-chips-nvidia-amd-china,US restricts sale of AI training chips to China,US restricts sale of AI training chips to China,2022-09-01
37,https://www.theverge.com/23329531/the-last-of-us-part-1-review-ps5-remake,The Last of Us’ PS5 remake makes it feel like a modern game,The Last of Us’ PS5 remake makes it feel like a modern game,2022-08-31
38,https://www.theverge.com/2022/9/1/23330694/garmin-venu-sq-2-black-panther-vivofit-jr-3-ifa-2022,Garmin beefs up battery for new Venu Sq 2 ,Garmin beefs up battery for new Venu Sq 2 ,N/A
39,https://www.theverge.com/2022/9/1/23326591/hmd-nokia-x30-g60-c31-sustainable-eco-friendly-smartphone,HMD claims its latest Nokia smartphone is its most ‘eco-friendly’ yet,HMD claims its latest Nokia smartphone is its most ‘eco-friendly’ yet,2022-09-01
40,https://www.theverge.com/2022/9/1/23332329/disney-prime-membership-program-being-explored,Disney is exploring a ‘Disney Prime’ membership program ,Disney is exploring a ‘Disney Prime’ membership program ,2022-09-01
41,https://www.theverge.com/2022/9/1/23331803/eve-homekit-android-app-smart-light-switch-matter,Eve gets an Android app and launches a Thread version of its smart switch ,Eve gets an Android app and launches a Thread version of its smart switch ,2022-09-01
42,https://www.theverge.com/2022/9/1/23330456/ring-intercom-smart-doorbell-apartment-price-specs,Ring’s latest gadget makes your apartment intercom smart,Ring’s latest gadget makes your apartment intercom smart,2022-09-01
43,https://www.theverge.com/23329564/asus-zenbook-17-fold-oled-review-price-screen-specs-foldable,Asus Zenbook 17 Fold OLED review: the best foldable yet,Asus Zenbook 17 Fold OLED review: the best foldable yet,2022-08-31
44,https://www.theverge.com/2022/9/1/23331387/philips-hue-announces-new-lightguide-bulbs-smartthings-music-sync,Philips Hue’s new Lightguide bulbs have landed,Philips Hue’s new Lightguide bulbs have landed,2022-09-01
45,https://www.theverge.com/2022/9/1/23330916/signify-philips-hue-play-lightstrips-monitor-gaming-smart-home-ifa-2022,Philips Hue is leveling up with lighting strips for your monitor,Philips Hue is leveling up with lighting strips for your monitor,2022-09-01
46,https://www.theverge.com/2022/9/1/23331266/sony-xperia-5-mark-iv-price-cameras-screen-specs,The Sony Xperia 5 IV puts powerful features in all three rear cameras,The Sony Xperia 5 IV puts powerful features in all three rear cameras,2022-09-01
